Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-26APR24-15000-C,-,-,,7.29904,-0.00475,0.00106,-,,1,-,-,-,-,0.794,-,-,-
BTC-26APR24-15000-P,-,156,,-0.00005,-0.00475,0.00106,-,,-,0.0001,-,-,-,-,0.0001,241.3,6
BTC-26APR24-20000-C,-,-,,9.73134,-0.05923,0.01415,-,,0.99998,-,-,-,-,0.7254,-,-,-
BTC-26APR24-20000-P,-,399.9,,-0.00078,-0.05917,0.01413,-,,-0.00002,0.0001,-,-,-,-,0.0001,198.19,5.1
BTC-26APR24-25000-C,-,21,,12.15402,-0.71142,0.171,-,,0.99971,0.6362,70,-,0.655,0.6568,0.6595,245.11,70
BTC-26APR24-25000-P,5.5,410.4,,-0.01111,-0.71078,0.17085,-,,-0.00029,0.0001,-,-,-,-,0.0004,189.39,17
BTC-26APR24-30000-C,-,37.8,,14.55932,-2.09432,0.54353,-,,0.99899,0.5588,70,-,0.586,0.5882,0.5905,201.35,70
BTC-26APR24-30000-P,2,284.1,,-0.03889,-2.09612,0.544,-,,-0.00101,0.0001,-,-,-,0.0001,0.0004,158.67,29.3
BTC-26APR24-32000-C,-,13.6,,15.49565,-3.82086,0.99588,-,,0.99805,0.5535,70,-,0.5585,0.5608,0.563,187.39,70
BTC-26APR24-32000-P,-,391.5,,-0.0758,-3.82392,0.99667,-,,-0.00195,0.0002,88.8,128.44,0.0001,0.0002,0.0005,151.67,29.5
BTC-26APR24-34000-C,-,103.4,,16.46106,-3.92,1.09395,-,,0.99784,0.5255,70,-,0.531,0.5333,0.5355,174.82,70
BTC-26APR24-34000-P,2,1754.4,,-0.08345,-3.91666,1.09302,-,,-0.00216,0.0003,75.1,119.48,0.0001,0.0002,0.0005,141.24,33.7
BTC-26APR24-35000-C,-,25.8,,16.9469,-3.81181,1.10642,-,,0.99781,0.5,70,-,0.5175,0.5196,0.522,171.39,70
BTC-26APR24-35000-P,1.5,149.4,,-0.08422,-3.80842,1.10544,-,,-0.00219,0.0003,75.6,115.18,0.0001,0.0002,0.0005,136.25,16.9
BTC-26APR24-36000-C,-,65,,17.42334,-4.11909,1.22816,-,,0.99754,0.4838,70,-,0.5035,0.5059,0.508,162.51,70
BTC-26APR24-36000-P,2.8,211.6,,-0.09446,-4.11909,1.22816,-,,-0.00246,0.0002,88.3,110.99,0.0001,0.0002,0.0005,131.38,16.9
BTC-26APR24-37000-C,-,-,,17.89635,-4.5442,1.38814,-,,0.99718,0.196,-,-,-,0.4922,-,-,-
BTC-26APR24-37000-P,1.4,315.6,,-0.10806,-4.5442,1.38814,-,,-0.00282,0.0002,105.2,106.94,0.0001,0.0002,0.0005,126.67,16.3
BTC-26APR24-38000-C,-,-,,18.37527,-4.68713,1.47976,-,,0.99698,0.133,-,-,-,0.4785,-,-,-
BTC-26APR24-38000-P,0.6,259.9,,-0.11587,-4.69152,1.48114,-,,-0.00303,0.0003,105.1,102.97,0.0001,0.0002,0.0004,118.87,12.5
BTC-26APR24-39000-C,-,-,,18.8215,-6.10647,1.93264,-,,0.99593,-,-,-,-,0.4648,-,-,-
BTC-26APR24-39000-P,12.9,506,,-0.15612,-6.10647,1.93264,-,,-0.00407,0.0004,0.3,110.81,0.0003,0.0003,0.0005,117.56,16.4
BTC-26APR24-40000-C,-,46,,19.27586,-7.10322,2.2854,-,,0.99509,0.3805,70,-,0.4485,0.4512,0.4535,144.66,70
BTC-26APR24-40000-P,10,282.5,,-0.18837,-7.10322,2.2854,-,,-0.00491,0.0005,22.5,106.65,0.0003,0.0004,0.0005,113.18,0.3
BTC-26APR24-41000-C,0.6,1213.7,,19.72547,-8.18876,2.68041,-,,0.99413,0.374,70,-,0.435,0.4375,0.44,141.37,77
BTC-26APR24-41000-P,8.1,1519.2,,-0.22513,-8.1815,2.67804,-,,-0.00587,0.0005,14,106.04,0.0004,0.0005,0.0006,111.42,12.4
BTC-26APR24-42000-C,-,90.3,,20.17924,-9.0295,3.02569,-,,0.99327,0.415,9.3,-,0.4215,0.4238,0.426,133.47,8.7
BTC-26APR24-42000-P,22.9,370.3,,-0.2582,-9.0295,3.02569,-,,-0.00673,0.0006,52.6,101.96,0.0004,0.0006,0.0007,109.3,12.9
BTC-26APR24-43000-C,-,275.1,,20.61182,-10.51271,3.57609,-,,0.99186,0.344,20,-,0.4095,0.4102,0.412,126.58,20
BTC-26APR24-43000-P,1,881.4,,-0.31223,-10.51271,3.57609,-,,-0.00814,0.0007,14,102.97,0.0006,0.0007,0.0008,106.93,11.9
BTC-26APR24-44000-C,-,1013.1,,21.04229,-11.93279,4.13409,-,,0.99039,0.384,20,-,0.3955,0.3966,0.3985,123.22,20
BTC-26APR24-44000-P,3.8,693.3,,-0.36874,-11.94318,4.13769,-,,-0.00962,0.0007,14.2,100.9,0.0007,0.0008,0.0009,104.4,9.2
BTC-26APR24-45000-C,-,159.1,,21.46194,-13.55578,4.78184,-,,0.98865,0.332,13.6,-,0.3805,0.383,0.3855,124.2,15
BTC-26APR24-45000-P,3.5,567,,-0.43532,-13.55578,4.78184,-,,-0.01135,0.0008,14.2,98.6,0.0008,0.0009,0.0011,103.13,16
BTC-26APR24-46000-C,159,224.3,,21.85897,-15.71633,5.62013,-,,0.98632,0.374,70,-,0.3665,0.3695,0.3725,123.88,76
BTC-26APR24-46000-P,2,285.6,,-0.52437,-15.70307,5.61539,-,,-0.01367,0.001,18.5,97.59,0.001,0.0011,0.0013,101.44,12.5
BTC-26APR24-47000-C,40,308.3,,22.25921,-17.57071,6.4078,-,,0.98407,0.3605,14.3,-,0.3535,0.356,0.3585,117.03,14.9
BTC-26APR24-47000-P,21.5,323,,-0.61126,-17.57071,6.4078,-,,-0.01593,0.0014,14,96.07,0.0012,0.0013,0.0015,99.43,14
BTC-26APR24-48000-C,-,197.4,,22.63141,-20.01841,7.41641,-,,0.98109,0.285,78.9,-,0.34,0.3425,0.3445,110.99,8.7
BTC-26APR24-48000-P,8.2,236.3,,-0.72566,-20.01841,7.41641,-,,-0.01891,0.0015,8.8,95.2,0.0015,0.0016,0.0016,96.19,1.2
BTC-26APR24-49000-C,-,277.6,,23.00505,-22.17059,8.38577,-,,0.97814,0.277,82.2,-,0.3265,0.329,0.331,107.31,11.5
BTC-26APR24-49000-P,7.1,459.6,,-0.83863,-22.17059,8.38577,-,,-0.02186,0.0019,44,92.05,0.0016,0.0018,0.002,95.54,12.2
