Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27DEC24-10000-C,-,-,,68.91807,-1.1971,5.92418,-,,0.99701,-,-,-,-,0.8712,-,-,-
BTC-27DEC24-10000-P,-,31.1,,-2.21758,-1.1971,5.92418,-,,-0.00299,0.0012,20,99.61,0.0007,0.0011,0.0015,110.02,22.5
BTC-27DEC24-15000-C,-,0.5,,102.30295,-1.96699,11.17577,-,,0.99392,0.808,-,-,-,0.8071,0.9365,333.06,0.1
BTC-27DEC24-15000-P,-,86.8,,-4.40053,-1.96699,11.17577,-,,-0.00608,0.0022,12.4,88.02,0.0015,0.002,0.0025,94.88,12.4
BTC-27DEC24-20000-C,-,3.3,,132.35359,-3.76913,22.57656,-,,0.98642,0.735,-,-,-,0.7447,0.85,229.65,0.1
BTC-27DEC24-20000-P,-,68.4,,-9.91772,-3.76913,22.57656,-,,-0.01358,0.0075,12.8,84.84,0.004,0.0045,0.005,88.27,12.4
BTC-27DEC24-25000-C,-,3.9,,158.44712,-6.37945,39.40006,-,,0.97386,0.6856,-,-,-,0.6845,-,-,-
BTC-27DEC24-25000-P,-,216.7,,-19.39201,-6.37945,39.40006,-,,-0.02614,0.009,12.4,82.56,0.0085,0.0093,0.0105,86.42,20.3
BTC-27DEC24-28000-C,-,-,,172.79423,-8.00093,50.61193,-,,0.96463,0.4685,-,-,-,0.6491,-,-,-
BTC-27DEC24-28000-P,-,146.7,,-26.3856,-8.00093,50.61193,-,,-0.03537,0.0155,19.8,80.05,0.0115,0.0128,0.014,83.87,19.8
BTC-27DEC24-29000-C,-,3.3,,177.10212,-8.62215,54.8365,-,,0.96099,0.647,-,-,-,0.6376,-,-,-
BTC-27DEC24-29000-P,-,55.7,,-29.19128,-8.62215,54.8365,-,,-0.03901,0.0135,19.1,79.81,0.013,0.0143,0.016,84,19.1
BTC-27DEC24-30000-C,-,11.1,,181.27488,-9.24728,59.14376,-,,0.95717,0.637,-,-,-,0.6261,-,-,-
BTC-27DEC24-30000-P,0.3,87.9,,-32.13208,-9.24728,59.14376,-,,-0.04283,0.0165,18.6,79.41,0.0145,0.0159,0.017,82.68,18.6
BTC-27DEC24-31000-C,-,2.8,,185.12411,-9.93035,63.74956,-,,0.95299,0.475,-,-,-,0.6149,-,-,-
BTC-27DEC24-31000-P,-,27.2,,-35.39642,-9.93035,63.74956,-,,-0.04701,0.0195,18.1,78.89,0.016,0.0176,0.019,82.53,18.1
BTC-27DEC24-32000-C,-,-,,189.29037,-10.4826,67.89584,-,,0.94914,0.4095,5,62.55,0.591,0.6035,0.617,93.8,5
BTC-27DEC24-32000-P,-,25.3,,-38.34372,-10.4826,67.89584,-,,-0.05086,0.0255,19.9,79.44,0.0185,0.0192,0.02,81.14,18
BTC-27DEC24-33000-C,-,0.5,,192.76637,-11.19478,72.73607,-,,0.94452,0.6125,5,64.01,0.58,0.5925,0.606,92.77,5
BTC-27DEC24-33000-P,-,26.7,,-41.98129,-11.19478,72.73607,-,,-0.05548,0.024,19.4,79.21,0.0205,0.0212,0.022,80.8,18
BTC-27DEC24-34000-C,-,0.7,,196.19319,-11.87933,77.51941,-,,0.93984,0.5852,5,64.97,0.569,0.5816,0.595,91.71,5
BTC-27DEC24-34000-P,-,31.4,,-45.66803,-11.87933,77.51941,-,,-0.06016,0.0255,19,78.86,0.0225,0.0232,0.024,80.35,18
BTC-27DEC24-35000-C,-,-,,199.31039,-12.60763,82.51345,-,,0.93482,0.369,5,65.57,0.558,0.5709,0.5845,91.02,5
BTC-27DEC24-35000-P,-,266.8,,-49.6644,-12.60763,82.51345,-,,-0.06518,0.024,18.6,78.88,0.025,0.0255,0.0265,80.27,18
BTC-27DEC24-36000-C,-,1.6,,202.32459,-13.3211,87.49271,-,,0.92969,0.573,5,66.48,0.5475,0.5602,0.574,90.28,5
BTC-27DEC24-36000-P,-,48.2,,-53.76377,-13.3211,87.49271,-,,-0.07031,0.032,18.4,78.76,0.0275,0.0279,0.029,80.07,18
BTC-27DEC24-37000-C,-,-,,205.04352,-14.0702,92.63255,-,,0.92424,0.307,5,67.08,0.537,0.5498,0.5635,89.49,5
BTC-27DEC24-37000-P,-,44.9,,-58.1584,-14.0702,92.63255,-,,-0.07576,0.0365,18,78.52,0.03,0.0304,0.0315,79.76,18
BTC-27DEC24-38000-C,-,0.2,,207.50386,-14.84286,97.87592,-,,0.91853,0.2685,5,67.93,0.527,0.5396,0.553,88.66,5
