Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27SEP24-10000-C,-,1.2,,45.811,-0.73085,2.18682,-,,0.99872,0.867,0.3,-,0.01,0.8687,-,-,-
BTC-27SEP24-10000-P,0.1,247.8,,-0.57465,-0.73085,2.18682,-,,-0.00128,0.0004,0.7,111.36,0.0003,0.0003,0.0005,117.74,5
BTC-27SEP24-15000-C,-,0.2,,68.2159,-1.42353,4.85883,-,,0.99691,0.758,1,-,0.0001,0.8032,-,-,-
BTC-27SEP24-15000-P,-,235.7,,-1.36258,-1.42353,4.85883,-,,-0.00309,0.0008,0.1,97.93,0.0007,0.0008,0.0013,105.97,11.3
BTC-27SEP24-18000-C,-,1,,81.23325,-2.1287,7.66,-,,0.99486,0.4275,1,-,0.0001,0.7642,-,-,-
BTC-27SEP24-18000-P,-,49.9,,-2.26093,-2.1287,7.66,-,,-0.00514,0.0013,0.2,91.07,0.001,0.0013,0.0019,99.45,11
BTC-27SEP24-19000-C,-,-,,85.46189,-2.43296,8.87896,-,,0.99393,-,1,-,0.0001,0.7513,-,-,-
BTC-27SEP24-19000-P,-,131.4,,-2.67085,-2.43296,8.87896,-,,-0.00607,0.0021,2.5,87.74,0.001,0.0015,0.0022,97.94,14.1
BTC-27SEP24-20000-C,-,2.7,,89.40778,-2.96776,10.83392,-,,0.9924,0.7155,1,-,0.0001,0.7386,-,-,-
BTC-27SEP24-20000-P,0.1,81.2,,-3.36353,-2.96776,10.83392,-,,-0.0076,0.002,3,89.33,0.0015,0.002,0.0025,96.31,13.2
BTC-27SEP24-21000-C,-,0.4,,93.75615,-3.12167,11.69596,-,,0.99171,0.7217,1,-,0.0001,0.7255,-,-,-
BTC-27SEP24-21000-P,-,29,,-3.65372,-3.12167,11.69596,-,,-0.00829,0.0023,2.4,86.18,0.0015,0.0021,0.0028,94.6,13.1
BTC-27SEP24-22000-C,-,0.4,,97.75636,-3.5549,13.44842,-,,0.99028,0.7088,1,-,0.0001,0.7127,-,-,-
BTC-27SEP24-22000-P,-,57.4,,-4.29208,-3.5549,13.44842,-,,-0.00972,0.0031,0.3,86.72,0.002,0.0025,0.0032,93.33,13.4
BTC-27SEP24-23000-C,-,0.8,,101.68509,-4.01815,15.34543,-,,0.98869,0.7025,2.1,79.62,0.6985,0.7,0.7025,98.84,2.1
BTC-27SEP24-23000-P,-,163.1,,-5.00191,-4.01815,15.34543,-,,-0.01131,0.0037,0.3,86.1,0.0024,0.0029,0.0036,91.95,13.4
BTC-27SEP24-24000-C,-,0.5,,105.59266,-4.46826,17.25889,-,,0.98705,0.264,2,78.16,0.6855,0.6872,0.6895,96.09,2
BTC-27SEP24-24000-P,-,156.8,,-5.73291,-4.46826,17.25889,-,,-0.01295,0.008,0.3,85.73,0.0029,0.0033,0.0038,89.68,0.3
BTC-27SEP24-25000-C,-,26,,109.38598,-4.97688,19.40822,-,,0.98516,0.6708,2,79.6,0.673,0.6746,0.677,94.95,2
BTC-27SEP24-25000-P,0.1,237.4,,-6.57815,-4.97688,19.40822,-,,-0.01484,0.0042,8,85.07,0.0034,0.0038,0.0043,88.59,0.1
BTC-27SEP24-26000-C,-,5.3,,113.10705,-5.50681,21.68304,-,,0.98311,0.6582,2,80.2,0.6605,0.662,0.6645,93.71,2
BTC-27SEP24-26000-P,-,123.9,,-7.49565,-5.50681,21.68304,-,,-0.01689,0.006,4.3,84.59,0.004,0.0044,0.005,88.05,11.3
BTC-27SEP24-27000-C,1,12.7,,116.48121,-6.25566,24.67558,-,,0.98034,0.65,2,78.29,0.6475,0.6496,0.652,92.39,2
BTC-27SEP24-27000-P,-,64.8,,-8.76006,-6.25566,24.67558,-,,-0.01966,0.005,12,83.56,0.0045,0.0052,0.006,88.17,13.3
BTC-27SEP24-28000-C,-,30.2,,120.23872,-6.68604,26.78307,-,,0.97834,0.615,1.9,80.04,0.6355,0.637,0.6395,91.01,1.9
BTC-27SEP24-28000-P,-,107.2,,-9.64111,-6.68604,26.78307,-,,-0.02166,0.006,13.9,82.42,0.005,0.0057,0.0065,86.67,13.2
BTC-27SEP24-29000-C,-,15.5,,123.37396,-7.5178,30.14786,-,,0.97508,0.6209,1.9,79.54,0.623,0.6248,0.627,89.58,1.9
BTC-27SEP24-29000-P,0.4,129.8,,-11.14444,-7.5178,30.14786,-,,-0.02492,0.008,4.3,82.58,0.006,0.0067,0.0075,86.35,13.2
BTC-27SEP24-30000-C,-,61.6,,126.77623,-8.11822,32.89686,-,,0.97233,0.61,1.9,78.86,0.6105,0.6124,0.615,89.12,1.9
BTC-27SEP24-30000-P,-,239.4,,-12.38073,-8.11822,32.89686,-,,-0.02767,0.0075,4,82.42,0.007,0.0075,0.008,84.73,11.3
BTC-27SEP24-31000-C,-,29.8,,130.13912,-8.7047,35.67715,-,,0.9695,0.607,1.9,79.25,0.5985,0.6,0.6025,87.57,1.9
BTC-27SEP24-31000-P,-,141.2,,-13.65641,-8.7047,35.67715,-,,-0.0305,0.0085,14.2,80.94,0.0075,0.0083,0.009,84.14,11.3
BTC-27SEP24-32000-C,-,44.4,,132.92621,-9.62289,39.48655,-,,0.9655,0.5846,1.8,79.3,0.5865,0.5881,0.5905,86.88,1.8
BTC-27SEP24-32000-P,30,79.4,,-15.50789,-9.62289,39.48655,-,,-0.0345,0.011,4,81.48,0.009,0.0095,0.01,83.41,11
BTC-27SEP24-33000-C,-,42.9,,135.78894,-10.43736,43.05925,-,,0.96165,0.5687,1.8,79.1,0.5745,0.5761,0.5785,86.07,1.8
BTC-27SEP24-33000-P,10,100.8,,-17.28372,-10.43736,43.05925,-,,-0.03835,0.0115,6.1,80.78,0.01,0.0107,0.0115,83.42,13.1
BTC-27SEP24-34000-C,-,95.9,,138.55927,-11.25678,46.7119,-,,0.95761,0.563,1.8,78.72,0.5625,0.5642,0.567,85.91,1.8
BTC-27SEP24-34000-P,-,63.8,,-19.15196,-11.25678,46.7119,-,,-0.04239,0.0165,4,80.8,0.0115,0.012,0.0125,82.43,11.3
BTC-27SEP24-35000-C,-,641.8,,141.32841,-12.02365,50.28774,-,,0.95355,0.564,1.8,78.97,0.551,0.5523,0.555,84.88,1.8
