Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-27SEP24-200-C,-,-,,0.9147,-0.00695,0.01686,-,,0.99982,-,-,-,-,0.9454,-,-,-
ETH-27SEP24-200-P,350,347,,-0.00388,-0.00695,0.01686,-,,-0.00018,0.0001,-,-,-,0.0001,0.0006,176.5,33
ETH-27SEP24-400-C,-,-,,1.8216,-0.02185,0.06249,-,,0.99927,-,206,-,0.882,0.8908,0.9,206.29,206
ETH-27SEP24-400-P,-,1185,,-0.01556,-0.02185,0.06249,-,,-0.00073,0.0003,2,110.1,0.0001,0.0002,0.0007,134.7,80
ETH-27SEP24-500-C,-,-,,2.26682,-0.03782,0.11271,-,,0.99861,-,166,-,0.8545,0.8637,0.873,185.33,163
ETH-27SEP24-500-P,-,101,,-0.02963,-0.03782,0.11271,-,,-0.00139,0.0009,26,98.85,0.0001,0.0004,0.0008,122.79,84
ETH-27SEP24-600-C,-,-,,2.70468,-0.05982,0.1845,-,,0.99761,-,-,-,-,0.8366,-,-,-
ETH-27SEP24-600-P,-,1669,,-0.05106,-0.05982,0.1845,-,,-0.00239,0.0011,20,102.82,0.0004,0.0007,0.001,114.62,102
ETH-27SEP24-800-C,-,-,,3.59023,-0.08467,0.29421,-,,0.99599,0.806,-,-,-,0.7822,-,-,-
ETH-27SEP24-800-P,-,1232,,-0.0841,-0.08467,0.29421,-,,-0.00401,0.0015,5,90.66,0.0006,0.001,0.0015,101.9,143
ETH-27SEP24-1000-C,-,-,,4.385,-0.18286,0.64543,0.00001,,0.99026,-,-,-,-,0.7292,-,-,-
ETH-27SEP24-1000-P,202,1654,,-0.2079,-0.18286,0.64543,0.00001,,-0.00974,0.0027,11,91.72,0.0021,0.0026,0.0033,98.48,141
ETH-27SEP24-1200-C,-,2,,5.17033,-0.26439,0.99265,0.00002,,0.98399,0.7055,175,-,0.6675,0.6762,0.686,114.13,179
ETH-27SEP24-1200-P,233,866,,-0.34115,-0.26439,0.99265,0.00002,,-0.01601,0.0045,317,87.79,0.0039,0.0043,0.0045,90.03,317
ETH-27SEP24-1300-C,-,-,,5.5269,-0.3239,1.23877,0.00002,,0.97924,-,195,-,0.641,0.6502,0.6595,108.15,189
ETH-27SEP24-1300-P,247,1126,,-0.44387,-0.3239,1.23877,0.00002,,-0.02076,0.005,212,85.64,0.005,0.0057,0.0065,90.05,417
